name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190828_063405-v2,7.9,0.1,,3.6,5.4,GW190828_063405,0.15,,GWTC-2.1-confident,,-4.3,-0.3,-4.1,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,-4.0,0.38,54.3,,57.2,31.9,1251009263.7,-0.16,16.5,1e-05,7.3,25.8,,2070.0,,,0.2,650.0,-2.0,-0.15,4.9,-920.0,-5.3,24.6,1.0,0.15
GW190814_211039-v3,1.3,0.01,,0.06,1.4,GW190814,0.07,,GWTC-2.1-confident,,-1.3,-0.2,-1.4,/GWTC-2.1/,3,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,-1.3,0.05,25.7,,25.9,23.3,1249852257.0,-0.07,25.3,1e-05,1.3,2.6,,230.0,,,0.1,40.0,-0.05,-0.01,0.1,-50.0,-0.1,6.11,1.0,0.0
GW190805_211137-v1,19.5,0.43,,8.8,15.4,GW190805_211137,0.29,,GWTC-2.1-confident,,-13.8,-0.7,-11.2,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,-13.2,0.92,72.4,,76.7,46.2,1249074715.3,-0.39,8.1,0.63,18.2,30.6,,6130.0,,,0.5,3720.0,-6.3,-0.4,11.8,-3080.0,-11.3,31.9,0.95372,0.37
GW190803_022701-v2,12.0,0.22,,5.4,9.8,GW190803_022701,0.23,,GWTC-2.1-confident,,-8.1,-0.5,-6.7,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,-7.6,0.54,62.1,,65.0,37.7,1248834439.8,-0.28,9.3,0.073,11.2,27.6,,3190.0,,,0.3,1630.0,-3.8,-0.22,7.6,-1470.0,-8.5,27.6,0.97383,-0.01
GW190731_140936-v2,16.3,0.31,,7.4,12.7,GW190731_140936,0.28,,GWTC-2.1-confident,,-11.4,-0.4,-9.1,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190731_140936/v2,-10.8,0.56,67.4,,70.7,41.8,1248617394.6,-0.25,8.8,0.33,15.3,29.0,,3330.0,,,0.3,2350.0,-5.3,-0.26,10.2,-1770.0,-9.9,29.7,0.83427,0.07
GW190728_064510-v2,4.2,0.05,,0.6,6.9,GW190728_064510,0.19,,GWTC-2.1-confident,,-1.4,-0.4,-2.3,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190728_064510/v2,-1.4,0.18,19.7,,20.7,12.5,1248331528.5,-0.07,13.1,1e-05,4.4,8.0,,880.0,,,0.3,260.0,-0.3,-0.07,1.7,-380.0,-2.6,8.6,1.0,0.13
GW190727_060333-v2,10.2,0.18,,4.6,8.9,GW190727_060333,0.25,,GWTC-2.1-confident,,-7.8,-0.5,-6.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190727_060333/v2,-7.3,0.52,65.4,,68.8,38.9,1248242631.9,-0.27,11.7,1e-05,9.5,30.2,,3070.0,,,0.2,1300.0,-3.7,-0.18,6.5,-1230.0,-8.3,29.4,1.0,0.09
GW190725_174728-v1,7.4,0.09,,0.5,10.1,GW190725_174728,0.36,,GWTC-2.1-confident,,-1.9,-0.7,-3.0,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,-1.8,0.2,17.6,,18.3,11.8,1248112066.4,-0.16,9.1,0.46,7.7,6.3,,1030.0,,,0.4,520.0,-0.5,-0.08,2.1,-430.0,-2.5,7.4,0.96021,-0.04
GW190720_000836-v2,3.8,0.11,,0.4,5.6,GW190720_000836,0.14,,GWTC-2.1-confident,,-2.0,-0.8,-3.3,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190720_000836/v2,-2.0,0.16,20.8,,21.8,14.2,1247616534.7,-0.11,10.9,1e-05,3.9,7.5,,770.0,,,0.3,650.0,-0.8,-0.05,2.2,-260.0,-1.8,9.0,1.0,0.19
GW190719_215514-v2,38.4,0.39,,8.3,42.1,GW190719_215514,0.33,,GWTC-2.1-confident,,-11.6,-0.7,-11.1,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190719_215514/v2,-11.1,0.61,54.5,,57.2,36.6,1247608532.9,-0.32,7.9,0.63,38.3,19.9,,3730.0,,,0.3,3120.0,-4.3,-0.3,10.0,-2070.0,-9.3,22.8,0.91976,0.25
