,eventid,chirp_mass,far,mass1,mass2,snr,spin1z,spin2z,template_duration,chisq,likelihood,group,group_name,total_mass,mass_ratio,mass_dos,luminosity_distance
23,S190930s,9.9360570907593,3.0083036546639e-09,36.524567,4.330317,6.5271025,0.67452186,-0.91833872,13.38646604653,0.80399376,15.397323405905,3,O3,40.854884,8.434617373277753,0.7880147205900768,2613.9353603697245
24,S190924h,6.4551019668579,8.9279810833464e-19,14.338296,4.1252065,5.8695865,0.16565751,0.59049678,24.048308839452,0.91159511,37.519440441646,3,O3,18.4635025,3.4757765459741226,0.5531501674722875,1626.8691918319942
25,S190923y,3.3142044274337,4.7829942217882e-08,19.63349,1.0296752,6.0151496,0.32074127,0.0,19.152088165283,1.245531,0.0,3,O3,20.663165199999998,19.067653566872348,0.9003371274406692,1665.9153182844495
26,S190915ak,29.053270339966,9.735230021229401e-10,34.684841,32.121094,9.7764187,0.21161352,-0.9510231,2.7047908691981,1.6870619,15.816279062012,3,O3,66.805935,1.079815058602923,0.03837603650034984,2990.5000334521596
27,S190910h,1.5128829479218,3.5844861998481e-08,2.7036612,1.1568336,8.4289761,-0.01355253,0.0087006632,245.54465725791,0.7762686,12.422616207748,3,O3,3.8604947999999997,2.3371219508147068,0.40068117693099864,598.4099857511462
28,S190910d,9.0167846679688,3.7171798972224e-09,67.023636,2.3952496,6.159358,-0.048650902,-0.80840766,10.46121227003,0.55332202,0.0,3,O3,69.4188856,27.9819005084063,0.9309914130917711,4810.662272590363
29,S190901ap,1.3924409151077,7.027203369739e-09,1.8298149,1.4030885,8.489851,-0.037369806,0.036177631,281.23153639637,0.70751506,14.324157272101,3,O3,3.2329033999999996,1.3041336309149423,0.13199478833793796,584.3715903517528
30,S190828l,16.948337554932,4.6291112716376e-11,30.383705,12.924967,7.6266661,-0.24138632,0.69482648,5.5553032095744,0.929681,18.720829171375,3,O3,43.308672,2.350776214747782,0.4031233744595077,2337.4329689955994
31,S190828j,32.89066696167,8.4739716677881e-22,52.002979,27.973516,10.493406,-0.025977064,0.32933086,2.0852798805798,1.0740707,42.855344499705,3,O3,79.976495,1.8590076056224039,0.30045656539462007,3345.598896460094
32,S190814bv,6.3968968391418,2.0326250142179e-33,20.846231,3.0455875,10.643331,-0.22075345,0.38675523,24.587792193478,2.2063408,68.264326728006,3,O3,23.8918185,6.844732256091805,0.7450518469324552,579.1529924373059
33,S190728q,10.064141273499,2.5267921534347e-23,21.592342,6.6136613,7.683836,0.45995906,-0.60057747,12.094115873042,0.90024728,46.175873122765,3,O3,28.2060033,3.264809161001335,0.531045839450781,1444.497886864394
34,S190727h,31.815196990967,1.3782066439242e-10,47.362637,28.55905,8.4474859,-0.95342147,0.030223127,2.4410480279451,1.084553,17.12948479896,3,O3,75.92168699999999,1.6584108014797412,0.24767082691405426,4055.43787454294
35,S190720a,10.422463484926,3.8010550106926e-09,15.348199,9.4483747,7.0517716,0.18899558,0.18899558,2.7703232765198,0.85510665,0.0,3,O3,24.7965737,1.6244274266557188,0.23792901274904762,1490.211005188941
36,S190718y,1.5775053501129,3.6484489800262e-08,2.7160277,1.2453752,7.947402,0.85022157,0.038774237,231.75590392663,0.53428364,13.219616064683,3,O3,3.9614029000000004,2.180891108157606,0.3712453737033413,698.8138436369387
37,S190707q,9.979942,5.264777e-12,15.509114,8.619239,7.856771,-0.296088,0.762227,3.227783,0.955075,,3,O3,24.128353,1.7993600131055654,0.28555098642663257,1207.3994149926095
38,S190706ai,75.435146269636,1.9005275053463e-09,131.45724,58.937244,2.5165477,0.77388322,0.77388322,0.15180115401745,,0.0,3,O3,190.394484,2.2304612682601856,0.3808933666376596,5220.773180784906
39,S190701ah,37.593248422063,1.9155375553236e-08,85.94265,23.478758,5.3944025,-0.46544775,-0.46544775,0.15299399197102,,0.0,3,O3,109.421408,3.6604427712913945,0.5708562258676109,6706.033600088371
